quality;grade;descriptor
Attendance;A;No absences without valid reason in 6 months.
Attendance;B;Missed fewer than 2 days without valid reason in 6 months.
Attendance;C;Missed more than 2 but fewer than 5 days without valid reason in 6 months.
Attendance;D;Missed more than 5 but fewer than 10 days without valid reason in 6 months.
Attendance;E;Missed more than 10 days without valid reason in 6 months.
Punctuality;A;Late on fewer than 3 occasions in 6 months.
Punctuality;B;Late on more than 3 but fewer than 5 occasions in 6 months.
Punctuality;C;Late on more than 5 but fewer than 8 occasions in 6 months.
Punctuality;D;Late on more than 8 but fewer than 10 occasions in 6 months.
Punctuality;E;Late on more than 10 occasions in 6 months.
Completing assignments;A;Always completes any assignment on time and to a high standard.
Completing assignments;B;Completes 90% of assignments on time and to a good standard.
Completing assignments;C;Completes more than 75% but less than 90% of assignments on time and to a good standard.
Completing assignments;D;Completes more than 50% but less than 75% of assignments on time and to a good standard.
Completing assignments;E;Less than 50% of tasks are completed on time or to a good standard.
Personal appearance;A;When dressed for the job, personal appearance and dress immediately impress. Distinctive, perhaps distinguished.
Personal appearance;B;When dressed for the job, personal appearance and dress don't stand out, but this person is always neat and tidy.
Personal appearance;C;Not especially neat and tidy, but adequate for the job.
Personal appearance;D;Some aspects of personal appearance may be off-putting to people encountered in the job.
Personal appearance;E;Appearance and dress are totally unsuitable for the job.
Confidence;A;Always assured and confident in demeanour and presentation of ideas without being aggressively over-confident.
Confidence;B;Appears confident with familiar situations and people, but still sometimes nervous or over-confident when in an unfamiliar context.
Confidence;C;Uncertain of capabilities and needing frequent reassurance. Or over-confident and sometimes overbearing.
Confidence;D;Timid in relationships and new situations - or aggressively over-confident.
Confidence;E;Unsuited for contact with other people because of chronic fear of new situations.  Or someone whose surly aggression drives others away.
Enthusiasm;A;Always eager to take on a new task, whether hard or simple, and tackles it diligently, without question or complaint. This positive attitude inspires others too.
Enthusiasm;B;Usually eager to work, but on one or two occasions has been less than willing to tackle an assignment within the range of competence, or reluctant to learn something new. 
Enthusiasm;C;Generally takes on tasks or assignments without objection, but does not appear to be strongly motivated, and will not inspire others.
