quality,approved,created_by
Attendance,1,1
Punctuality,1,1
Ambition,1,1
Analytical skills,1,1
Personal appearance,1,1
Artistic skills,1,1
Assertiveness,1,1
Completing assignments,1,1
Care for the workplace,1,1
Communication,1,1
Concentration,1,1
Confidence,1,1
Courtesy,1,1
Creativity,1,1
Investigative skills,1,1
Decision-making,1,1
Delegation,1,1
Dexterity,1,1
Diplomacy,1,1
Discretion,1,1
Enthusiasm,1,1
Flexibility,1,1
Following instructions,1,1
Health and fitness,1,1
Initiative,1,1
Judgement,1,1
Leadership,1,1
Numeracy,1,1
Meeting deadlines,1,1
Mental agility,1,1
Organization,1,1
Personality,1,1
Physical agility,1,1
Physical strength,1,1
Planning,1,1
Pressure,1,1
Pride in work,1,1
Problem-solving,1,1
Response to criticism,1,1
Crisis management,1,1
Teamwork,1,1
Determination,1,1
Unsupervised work,1,1
Accuracy,1,1
Courage,1,1
Literacy,1,1
Negotiation,1,1
Presentation skills,1,1
